id,provinsi,nama
1107,11,KABUPATEN ACEH BARAT
1112,11,KABUPATEN ACEH BARAT DAYA
1108,11,KABUPATEN ACEH BESAR
1116,11,KABUPATEN ACEH JAYA
1103,11,KABUPATEN ACEH SELATAN
1102,11,KABUPATEN ACEH SINGKIL
1114,11,KABUPATEN ACEH TAMIANG
1106,11,KABUPATEN ACEH TENGAH
1104,11,KABUPATEN ACEH TENGGARA
1105,11,KABUPATEN ACEH TIMUR
1111,11,KABUPATEN ACEH UTARA
1307,13,KABUPATEN AGAM
5307,53,KABUPATEN ALOR
1208,12,KABUPATEN ASAHAN
9415,94,KABUPATEN ASMAT
5103,51,KABUPATEN BADUNG
6311,63,KABUPATEN BALANGAN
3204,32,KABUPATEN BANDUNG
3217,32,KABUPATEN BANDUNG BARAT
7202,72,KABUPATEN BANGGAI
7201,72,KABUPATEN BANGGAI KEPULAUAN
7211,72,KABUPATEN BANGGAI LAUT
1901,19,KABUPATEN BANGKA
1903,19,KABUPATEN BANGKA BARAT
1905,19,KABUPATEN BANGKA SELATAN
1904,19,KABUPATEN BANGKA TENGAH
3526,35,KABUPATEN BANGKALAN
5106,51,KABUPATEN BANGLI
6303,63,KABUPATEN BANJAR
3304,33,KABUPATEN BANJARNEGARA
7303,73,KABUPATEN BANTAENG
3402,34,KABUPATEN BANTUL
1607,16,KABUPATEN BANYU ASIN
3302,33,KABUPATEN BANYUMAS
3510,35,KABUPATEN BANYUWANGI
6304,63,KABUPATEN BARITO KUALA
6204,62,KABUPATEN BARITO SELATAN
6212,62,KABUPATEN BARITO TIMUR
6205,62,KABUPATEN BARITO UTARA
7310,73,KABUPATEN BARRU
3325,33,KABUPATEN BATANG
1504,15,KABUPATEN BATANG HARI
1219,12,KABUPATEN BATU BARA
3216,32,KABUPATEN BEKASI
1902,19,KABUPATEN BELITUNG
1906,19,KABUPATEN BELITUNG TIMUR
5306,53,KABUPATEN BELU
1117,11,KABUPATEN BENER MERIAH
1408,14,KABUPATEN BENGKALIS
6102,61,KABUPATEN BENGKAYANG
1701,17,KABUPATEN BENGKULU SELATAN
1709,17,KABUPATEN BENGKULU TENGAH
1703,17,KABUPATEN BENGKULU UTARA
6405,64,KABUPATEN BERAU
9409,94,KABUPATEN BIAK NUMFOR
5206,52,KABUPATEN BIMA
2102,21,KABUPATEN BINTAN
1110,11,KABUPATEN BIREUEN
3505,35,KABUPATEN BLITAR
3316,33,KABUPATEN BLORA
7501,75,KABUPATEN BOALEMO
3201,32,KABUPATEN BOGOR
3522,35,KABUPATEN BOJONEGORO
7101,71,KABUPATEN BOLAANG MONGONDOW
7110,71,KABUPATEN BOLAANG MONGONDOW SELATAN
7111,71,KABUPATEN BOLAANG MONGONDOW TIMUR
7107,71,KABUPATEN BOLAANG MONGONDOW UTARA
7406,74,KABUPATEN BOMBANA
3511,35,KABUPATEN BONDOWOSO
7311,73,KABUPATEN BONE
7504,75,KABUPATEN BONE BOLANGO
9413,94,KABUPATEN BOVEN DIGOEL
3309,33,KABUPATEN BOYOLALI
3329,33,KABUPATEN BREBES
5108,51,KABUPATEN BULELENG
7302,73,KABUPATEN BULUKUMBA
6502,65,KABUPATEN BULUNGAN
1509,15,KABUPATEN BUNGO
7207,72,KABUPATEN BUOL
8104,81,KABUPATEN BURU
8109,81,KABUPATEN BURU SELATAN
7401,74,KABUPATEN BUTON
7415,74,KABUPATEN BUTON SELATAN
7414,74,KABUPATEN BUTON TENGAH
7409,74,KABUPATEN BUTON UTARA
3207,32,KABUPATEN CIAMIS
3203,32,KABUPATEN CIANJUR
3301,33,KABUPATEN CILACAP
3209,32,KABUPATEN CIREBON
1210,12,KABUPATEN DAIRI
9436,94,KABUPATEN DEIYAI
1212,12,KABUPATEN DELI SERDANG
3321,33,KABUPATEN DEMAK
1311,13,KABUPATEN DHARMASRAYA
9434,94,KABUPATEN DOGIYAI
5205,52,KABUPATEN DOMPU
7205,72,KABUPATEN DONGGALA
1611,16,KABUPATEN EMPAT LAWANG
5311,53,KABUPATEN ENDE
7316,73,KABUPATEN ENREKANG
9101,91,KABUPATEN FAKFAK
5309,53,KABUPATEN FLORES TIMUR
3205,32,KABUPATEN GARUT
1113,11,KABUPATEN GAYO LUES
5104,51,KABUPATEN GIANYAR
7502,75,KABUPATEN GORONTALO
7505,75,KABUPATEN GORONTALO UTARA
7306,73,KABUPATEN GOWA
3525,35,KABUPATEN GRESIK
3315,33,KABUPATEN GROBOGAN
3403,34,KABUPATEN GUNUNG KIDUL
6211,62,KABUPATEN GUNUNG MAS
8201,82,KABUPATEN HALMAHERA BARAT
8204,82,KABUPATEN HALMAHERA SELATAN
8202,82,KABUPATEN HALMAHERA TENGAH
8206,82,KABUPATEN HALMAHERA TIMUR
8205,82,KABUPATEN HALMAHERA UTARA
6306,63,KABUPATEN HULU SUNGAI SELATAN
6307,63,KABUPATEN HULU SUNGAI TENGAH
6308,63,KABUPATEN HULU SUNGAI UTARA
1215,12,KABUPATEN HUMBANG HASUNDUTAN
1403,14,KABUPATEN INDRAGIRI HILIR
1402,14,KABUPATEN INDRAGIRI HULU
3212,32,KABUPATEN INDRAMAYU
9435,94,KABUPATEN INTAN JAYA
9403,94,KABUPATEN JAYAPURA
9402,94,KABUPATEN JAYAWIJAYA
3509,35,KABUPATEN JEMBER
5101,51,KABUPATEN JEMBRANA
7304,73,KABUPATEN JENEPONTO
3320,33,KABUPATEN JEPARA
3517,35,KABUPATEN JOMBANG
9102,91,KABUPATEN KAIMANA
1406,14,KABUPATEN KAMPAR
6203,62,KABUPATEN KAPUAS
6108,61,KABUPATEN KAPUAS HULU
5107,51,KABUPATEN KARANG ASEM
3313,33,KABUPATEN KARANGANYAR
3215,32,KABUPATEN KARAWANG
2101,21,KABUPATEN KARIMUN
1211,12,KABUPATEN KARO
6209,62,KABUPATEN KATINGAN
1704,17,KABUPATEN KAUR
6111,61,KABUPATEN KAYONG UTARA
3305,33,KABUPATEN KEBUMEN
3506,35,KABUPATEN KEDIRI
9420,94,KABUPATEN KEEROM
3324,33,KABUPATEN KENDAL
1708,17,KABUPATEN KEPAHIANG
2105,21,KABUPATEN KEPULAUAN ANAMBAS
8105,81,KABUPATEN KEPULAUAN ARU
1301,13,KABUPATEN KEPULAUAN MENTAWAI
1410,14,KABUPATEN KEPULAUAN MERANTI
7103,71,KABUPATEN KEPULAUAN SANGIHE
